일자,현재가
2008/05/14,437.7
2008/05/15,440.6
2008/05/16,453.3
2008/05/18,450
2008/05/19,451.35
2008/05/20,450.25
2008/05/21,460
2008/05/22,456.95
2008/05/23,457.3
2008/05/26,453.5
2008/05/27,443.95
2008/05/28,436.25
2008/05/29,427.8
2008/05/30,435
2008/06/02,437.9
2008/06/03,435.05
2008/06/04,429.2
2008/06/05,422.9
2008/06/06,433.8
2008/06/09,429.6
2008/06/10,428.25
2008/06/11,433
2008/06/12,441.65
2008/06/13,454.45
2008/06/15,454.25
2008/06/16,467
2008/06/17,463
2008/06/18,470.05
2008/06/19,478
2008/06/20,479.2
2008/06/23,474
2008/06/24,471
2008/06/25,465.5
2008/06/26,471.25
2008/06/27,471.2
2008/06/30,464.75
2008/07/01,472.05
2008/07/02,470.8
2008/07/03,462.95
2008/07/06,455
2008/07/07,450.9
2008/07/08,442.45
2008/07/09,449
2008/07/10,452.1
2008/07/11,457.8
2008/07/13,456
2008/07/14,455
2008/07/15,443.65
2008/07/16,431.5
2008/07/17,426
2008/07/18,416.6
2008/07/21,415
2008/07/22,412.9
2008/07/23,384.5
2008/07/24,390
2008/07/25,383
2008/07/27,381.15
2008/07/28,391.25
2008/07/29,383.35
2008/07/30,375.7
2008/07/31,383.5
2008/08/01,371.1
2008/08/04,358.9
2008/08/05,346.15
2008/08/06,354.1
2008/08/07,347.45
2008/08/08,330.75
2008/08/10,331
2008/08/11,322
2008/08/12,310.55
2008/08/13,321.9
2008/08/14,308
2008/08/15,284.8
2008/08/18,287.75
2008/08/19,283.85
2008/08/20,278.55
2008/08/21,289.15
2008/08/22,289
2008/08/25,286.5
2008/08/26,285.7
2008/08/27,286.5
2008/08/28,293.1
2008/08/29,303.8
2008/09/01,304.95
2008/09/02,290.6
2008/09/03,285.8
2008/09/04,287.55
2008/09/05,272.9
2008/09/07,275
2008/09/08,265.5
2008/09/09,232
2008/09/10,226.5
2008/09/11,234
2008/09/12,242.8
2008/09/14,250
2008/09/15,238
2008/09/16,227
2008/09/17,248.5
2008/09/18,235
2008/09/19,236.95
2008/09/22,255.75
2008/09/23,250.75
2008/09/24,249
2008/09/25,242.45
2008/09/26,225.5
2008/09/28,221.15
2008/09/29,219
2008/09/30,202.95
2008/10/01,210.95
2008/10/02,198
2008/10/03,201.85
2008/10/05,202.65
2008/10/06,201.7
2008/10/07,198.45
2008/10/08,199.7
2008/10/09,204.7
2008/10/10,197.5
2008/10/13,203.8
2008/10/14,204.55
2008/10/15,195.6
2008/10/16,173.1
2008/10/17,174.5
2008/10/19,177
2008/10/20,180.05
2008/10/21,183.1
2008/10/22,180.1
2008/10/23,172.65
2008/10/24,173.95
2008/10/26,172.5
2008/10/27,175.4
2008/10/28,183.75
2008/10/29,203
2008/10/30,196.7
2008/10/31,199.55
2008/11/03,200.05
2008/11/04,210.5
2008/11/05,218.5
2008/11/06,220
2008/11/07,224
2008/11/10,223.2
2008/11/11,219.25
2008/11/12,213
2008/11/13,213.95
2008/11/14,216.65
2008/11/17,216.15
2008/11/18,215.3
2008/11/19,193.85
2008/11/20,179.45
2008/11/21,178.85
2008/11/24,196.15
2008/11/25,196.2
2008/11/26,190.4
2008/11/27,189
2008/11/28,192.6
2008/12/01,175.5
2008/12/02,172.45
2008/12/03,173
2008/12/04,171.5
2008/12/05,162.7
2008/12/08,175.2
2008/12/09,181
2008/12/10,185.75
2008/12/11,184.2
2008/12/12,175
2008/12/15,177
2008/12/16,182.5
2008/12/17,177.25
2008/12/18,177.1
2008/12/19,177.95
2008/12/22,174.65
2008/12/23,174.7
2008/12/24,174.9
2008/12/26,176
2008/12/29,188.5
2008/12/30,184.2
2008/12/31,184.05
2009/01/02,192.3
2009/01/05,186.5
2009/01/06,201.45
2009/01/07,196
2009/01/08,197.8
2009/01/09,191.9
2009/01/11,191.9
2009/01/12,187.15
2009/01/13,185.25
2009/01/14,181.95
2009/01/15,179.9
2009/01/16,185.95
2009/01/18,186.35
2009/01/19,183.75
2009/01/20,184.55
2009/01/21,185.5
2009/01/22,185.5
2009/01/23,197.1
2009/01/26,193.7
2009/01/27,191
2009/01/28,191
2009/01/29,195.95
2009/01/30,193.3
2009/02/01,193.3
2009/02/02,198.45
2009/02/03,192.95
2009/02/04,198.25
2009/02/05,202.2
2009/02/06,213.35
2009/02/09,205.85
2009/02/10,213.4
2009/02/11,217
2009/02/12,216.4
2009/02/13,216.5
2009/02/15,216.5
2009/02/16,217
2009/02/17,219
2009/02/18,219.1
2009/02/19,217.75
2009/02/20,216.55
2009/02/23,199.7
2009/02/24,201.4
2009/02/25,197.8
2009/02/26,197.15
2009/02/27,194.85
2009/03/02,193
2009/03/03,193.55
2009/03/04,199.8
2009/03/05,199.8
2009/03/06,204
2009/03/09,199.1
2009/03/10,197.5
2009/03/11,199.1
2009/03/12,198.3
2009/03/13,200
2009/03/16,201.45
2009/03/17,197.9
2009/03/18,197.95
2009/03/19,206.75
2009/03/20,210.9
2009/03/22,210
2009/03/23,211.5
2009/03/24,208.3
2009/03/25,211.75
2009/03/26,225
2009/03/27,223.7
2009/03/30,217.3
2009/03/31,214
2009/04/01,222.4
2009/04/02,224.8
2009/04/03,224.95
2009/04/06,225.75
2009/04/07,228.75
2009/04/08,235.7
2009/04/09,231.1
2009/04/12,234.95
2009/04/13,241.75
2009/04/14,237.95
2009/04/15,238.8
2009/04/16,234.5
2009/04/17,233.55
2009/04/19,233
2009/04/20,226
2009/04/21,225
2009/04/22,233.5
2009/04/23,232.75
2009/04/24,235.7
2009/04/26,235.5
2009/04/27,226.05
2009/04/28,216.8
2009/04/29,224.5
2009/04/30,218.2
2009/05/01,213.9
2009/05/03,212
2009/05/04,221.4
2009/05/05,222.9
2009/05/06,228.05
2009/05/07,241.7
2009/05/08,242.3
2009/05/10,242.85
2009/05/11,237
2009/05/12,234.45
2009/05/13,222.55
2009/05/14,225.85
2009/05/15,226.95
2009/05/18,230
2009/05/19,234.1
2009/05/20,235.85
2009/05/21,236
2009/05/22,233.65
2009/05/25,235.15
2009/05/26,231.55
2009/05/27,226.55
2009/05/28,232
2009/05/29,236.05
2009/06/01,242.9
2009/06/02,250.5
2009/06/03,241.75
2009/06/04,254.4
2009/06/05,259.8
2009/06/08,252
2009/06/09,257.05
2009/06/10,258.75
2009/06/11,257.1
2009/06/12,254.1
2009/06/15,243.35
2009/06/16,242.8
2009/06/17,243.05
2009/06/18,239.7
2009/06/19,246.15
2009/06/22,235.65
2009/06/23,237
2009/06/24,237.45
2009/06/25,244.45
2009/06/26,247.2
2009/06/29,252.95
